,Cloud,Area,GLON,GLAT,theta,WCO,Vcent,Rmax,Rmin,Rang,Rgal,INF,Dnear,Dfar,Rnear,Rfar,Mnear,Mfar,_RA.icrs,_DE.icrs,phyD,Md2
3724,3725,2.875,96.31863,-1.448797,-28.6068,241.183,2.63509,1.87759,0.794201,1.058,8.52398,0,0.197455,0.197455,3.64655,3.64655,195.18,195.18,326.699257,51.620061,0.5537998960787565,5006.094489785986
4832,4833,0.640625,96.64648,4.428031,10.2863,240.668,-3.628,1.01117,0.819132,0.878706,8.78211,0,1.43779,1.43779,22.0521,22.0521,10326.6,10326.6,320.368447,56.179527,0.6949742830229835,4995.355923787547
1389,1390,0.65625,109.6318,2.552612,-24.2046,240.626,-11.3044,0.462494,0.299032,0.345817,9.14924,0,1.57455,1.57455,9.50357,9.50357,12382.5,12382.5,343.205477,62.321229,0.8403748102669728,4994.539177783957
3387,3388,1.85938,95.80795,-0.963229,32.9437,237.161,-44.861,1.14186,0.620488,0.760374,10.9574,0,6.10886,6.10886,81.0756,81.0756,183703.0,183703.0,325.565643,51.658917,5.363229737238018,4922.615378531727
4285,4286,2.45312,98.52797,-0.412017,-1.75435,236.896,-53.5801,1.12698,0.620232,0.756848,11.5833,0,6.70918,6.70918,88.63,88.63,221334.0,221334.0,328.441258,53.820573,5.960432421135497,4917.102317525134
745,746,0.265625,110.4076,-0.732235,-27.1405,233.18,-44.7335,0.442113,0.125,0.190452,11.1322,0,4.8121,4.8121,15.9955,15.9955,112076.0,112076.0,347.450457,59.645103,4.074174738199307,4839.977413306305
4439,4440,1.96875,91.54677,1.403769,24.9041,230.688,-33.9087,1.15772,0.533323,0.69055,10.2735,0,5.54689,5.54689,66.8564,66.8564,147325.0,147325.0,318.065483,50.417945,4.809042155119284,4788.2557930604125
3653,3654,0.625,94.43795,1.564809,-48.7471,221.983,-6.50311,0.949109,0.302217,0.442573,8.90539,0,2.07957,2.07957,16.0636,16.0636,19925.9,19925.9,321.135247,52.593114,1.3376139040028954,4607.5585125577145
3561,3562,0.65625,108.0518,2.6734,7.82409,221.312,-11.3032,0.508046,0.340463,0.389058,9.14399,0,1.64572,1.64572,11.1752,11.1752,12441.4,12441.4,340.102916,61.699681,0.9060250903550751,4593.644254633435
795,796,0.265625,109.9362,2.135012,19.4708,220.151,-10.9306,0.407486,0.273273,0.312202,9.13229,0,1.52418,1.52418,8.30524,8.30524,10615.6,10615.6,344.181626,62.077046,0.7914381116189918,4569.535215272418
3635,3636,1.5625,107.2791,-0.325781,5.83466,215.53,-4.99916,0.80241,0.480344,0.569946,8.84995,0,1.00316,1.00316,9.97915,9.97915,4501.9,4501.9,341.581147,58.690829,0.2706511371149822,4473.582288533169
4889,4890,0.828125,99.94665,4.349693,-7.94913,213.431,-2.05485,1.20162,0.723129,0.85651,8.71664,0,0.960544,0.960544,14.3602,14.3602,4087.38,4087.38,324.898634,58.380798,0.21617206525763508,4430.068978446722
3388,3389,0.796875,95.04311,-0.844285,-20.0742,212.806,-45.5503,0.618993,0.373966,0.442367,10.9991,0,6.27402,6.27402,48.4412,48.4412,173871.0,173871.0,324.517353,51.243903,5.529441100384672,4417.080908199563
2845,2846,0.546875,109.5309,1.506926,-0.266378,209.268,-6.3041,0.401868,0.333117,0.354617,8.91262,0,1.06509,1.06509,6.59215,6.59215,4927.47,4927.47,343.977568,61.335939,0.34105228822454203,4343.61550285421
4328,4329,1.8125,103.3247,0.647931,5.54595,208.032,-44.6574,0.863029,0.553073,0.6415,11.0101,0,5.30837,5.30837,59.4365,59.4365,121676.0,121676.0,334.200736,57.509986,4.559046033118468,4317.999144686751
3590,3591,1.54688,110.5331,3.679543,-10.2219,208.001,-8.92412,1.24517,0.452858,0.634432,9.03707,0,1.29999,1.29999,14.3953,14.3953,7296.26,7296.26,343.906979,63.727891,0.57463258330317,4317.380030443227
4637,4638,1.5625,108.578,-0.104401,28.3591,207.807,-9.15875,0.903785,0.53919,0.640496,9.04388,0,1.39989,1.39989,15.6497,15.6497,8452.82,8452.82,343.647752,59.471083,0.6637345546817861,4313.341049414179
4825,4826,1.01562,100.1055,3.084818,-24.4631,197.737,-2.60209,0.872931,0.503743,0.605061,8.73997,0,1.03227,1.03227,10.9015,10.9015,4373.47,4373.47,326.681628,57.52629,0.28410129992875915,4104.304179214021
4469,4470,1.28125,106.0523,1.337131,12.5443,196.991,-24.581,0.765734,0.359372,0.46244,9.81527,0,3.09232,3.09232,24.959,24.959,39099.2,39099.2,337.916868,59.547908,2.345927288298757,4088.829608915148
3745,3746,1.15625,94.91977,1.200183,3.23696,187.562,1.20391,0.635452,0.542273,0.571706,8.58182,0,0.660097,0.660097,6.58677,6.58677,1696.34,1696.34,322.1235,52.664958,0.1180774621615218,3893.1163653586946
4682,4683,1.8125,102.233,-0.228862,20.1214,187.423,-4.51581,0.917853,0.628896,0.713363,8.82367,0,1.174,1.174,14.6177,14.6177,5361.86,5361.86,333.446386,56.171943,0.42507497968982066,3890.2658103311674
3552,3553,1.0625,108.945,0.536349,33.8889,186.668,-8.90503,0.725986,0.375494,0.467784,9.03281,0,1.35835,1.35835,11.0903,11.0903,7148.96,7148.96,343.75292,60.207599,0.6237333431275135,3874.5341483773245
2114,2115,0.359375,109.3804,0.089313,-22.8453,185.373,-54.849,0.369519,0.244346,0.280467,11.8789,0,5.9437,5.9437,29.0951,29.0951,135929.0,135929.0,344.924588,59.987948,5.202696684398827,3847.6748101491044
2824,2825,0.328125,93.41053,1.515844,-1.00107,183.363,-7.63051,0.473261,0.257093,0.315085,8.95433,0,2.35622,2.35622,12.9576,12.9576,21129.8,21129.8,320.001628,51.834938,1.6162340298122961,3805.9555363549166
4658,4659,0.421875,92.59103,3.857105,-29.6144,181.637,-14.8755,0.963589,0.501168,0.623189,9.28234,0,3.37298,3.37298,36.6883,36.6883,42892.7,42892.7,316.294669,52.846905,2.634669284497356,3770.125895898501
2918,2919,0.6875,107.9749,1.144258,-26.7208,176.824,2.56013,0.525617,0.247173,0.317852,8.52237,0,0.0716049,0.0716049,0.397236,0.397236,18.8182,18.8182,341.45539,60.315954,0.678954557231815,3670.224202771316
4223,4224,1.54688,95.91183,1.047829,-9.75752,176.464,-68.5808,0.96589,0.522876,0.641567,12.7633,0,8.68732,8.68732,97.2799,97.2799,276426.0,276426.0,323.499395,53.230439,7.940761719816184,3662.7497807362015
4699,4700,1.17188,95.12066,1.231289,28.8047,174.181,-7.90283,0.830498,0.488741,0.58322,8.96713,0,2.19734,2.19734,22.3678,22.3678,17456.1,17456.1,322.328847,52.825749,1.453637589824098,3615.3695670462394
4246,4247,1.25,98.08213,1.253361,-28.144,171.091,-61.0811,0.716485,0.390474,0.47804,12.1551,0,7.5774,7.5774,63.2225,63.2225,203901.0,203901.0,326.034931,54.822102,6.828598009618869,3551.2310433038097
4592,4593,1.23438,93.64491,1.021592,-19.9499,167.806,-13.457,0.713651,0.499778,0.562791,9.21803,0,3.06763,3.06763,30.1329,30.1329,32776.6,32776.6,320.833054,51.650113,2.326141113351431,3483.0358813009448
3540,3541,0.703125,98.85233,-1.887759,-10.6316,160.867,-10.8689,0.388964,0.319145,0.340902,9.10385,0,2.20614,2.20614,13.1264,13.1264,16251.2,16251.2,330.383692,52.852076,1.4587815113215137,3339.0221277681017
