,Cluster,Age,Mc,Mdotc,Lwc,k,Mmin*,Mmax*,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA_,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,l,b
111,Hogg_10,6.1,120.1,1.58e-09,2.99e+33,1768.8,1.97,3.35,167.663,-60.385,0.032,11,-6.201,1.754,0.382,notEnoughStars,,,,,,,,,Cl Hogg 10,167.6631,-60.385,290.7873040280338,0.08836551158838195
112,Hogg_15,2.2,1064.0,1.27e-05,8.84e+36,13784.9,2.84,10.66,190.906,-63.101,0.064,72,-6.018,-0.461,0.266,NN,6.34,3.4,12.4,3020.0,1602.0,-2560.0,-12.0,7207.0,Cl Hogg 15,190.9061,-63.101,302.04826294187103,-0.24266318822401348
113,Hogg_19,18.6,333.2,8.48e-09,1.73e+34,4786.4,1.95,5.28,247.236,-49.11,0.046,34,-2.05,-3.125,0.369,NN,7.27,2.14,12.04,2558.0,2319.0,-1077.0,-13.0,6115.0,Cl Hogg 19,247.236,-49.11,335.0803545102857,-0.3078792453343498
114,IC_1396,12.0,614.2,3.95e-08,8.970000000000001e+34,8537.3,1.1,7.1,324.745,57.514,0.297,403,-2.355,-4.495,1.066,NN,7.08,1.59,9.79,905.0,-146.0,891.0,59.0,8532.0,IC 1396,324.745,57.514,99.30898619044753,3.7552195035147165
115,IC_1442,19.5,1018.6,2.36e-08,4.78e+34,14684.6,2.41,4.99,333.978,53.995,0.115,95,-3.341,-3.283,0.259,NN,7.29,1.17,12.65,3386.0,-660.0,3318.0,-129.0,9593.0,IC 1442,333.978,53.995,101.26094229904812,-2.2004610080517146
116,IC_1590,6.2,567.2,1.43e-07,3.79e+35,7558.5,1.97,9.38,13.205,56.629,0.055,97,-2.368,-1.449,0.339,NN,6.79,1.13,12.37,2980.0,-1618.0,2481.0,-324.0,10263.0,IC 1590,13.205,56.629,123.12311535919831,-6.242231732411347
117,IC_1805,7.6,891.2,1.71e-07,4.3899999999999996e+35,11971.2,2.34,13.82,38.21,61.471,0.111,106,-0.702,-0.669,0.449,NN,6.88,2.22,11.47,1964.0,-1382.0,1395.0,32.0,9821.0,IC 1805,38.21,61.471,134.73309652580852,0.9446146720001674
118,IC_1848,15.8,1846.8,6.56e-08,1.3899999999999998e+35,26207.5,1.58,8.28,42.855,60.419,0.2,279,-0.372,-0.315,0.415,NN,7.2,1.75,11.9,2398.0,-1760.0,1628.0,38.0,10230.0,IC 1848,42.855,60.419,137.22164453313852,0.9195536229877546
119,IC_2391,28.8,159.7,1.7e-09,3.13e+33,2372.1,0.28,3.43,130.292,-52.991,0.814,222,-24.644,23.316,6.582,NN,7.46,0.04,5.86,148.0,0.0,-147.0,-17.0,8340.0,IC 2391,130.2922,-52.9911,270.38641414207893,-6.737090536239539
120,IC_2395,20.4,388.9,8.22e-09,1.64e+34,5626.5,0.51,5.85,130.531,-48.09,0.209,291,-4.464,3.293,1.379,NN,7.31,0.51,9.23,702.0,-41.0,-699.0,-44.0,8410.0,IC 2395,130.531,-48.09,266.5794328615321,-3.6271697580793294
121,IC_2581,10.2,541.4,5.03e-08,1.19e+35,7435.0,1.71,9.19,156.867,-57.626,0.059,103,-7.275,3.594,0.352,NN,7.01,1.17,12.02,2535.0,638.0,-2454.0,1.0,8082.0,IC 2581,156.8671,-57.626,284.59109184010396,0.025999040554193942
122,IC_348,11.7,101.3,9.17e-10,1.6599999999999998e+33,1514.8,1.52,2.53,56.132,32.159,0.096,139,4.483,-6.447,3.079,NN,7.07,1.91,7.64,337.0,-303.0,107.0,-103.0,8643.0,IC 348,56.132,32.159,160.48626346099985,-17.81080118002028
123,IC_4996,11.2,436.6,3.28e-08,7.58e+34,6037.4,1.55,7.56,304.135,37.649,0.028,69,-2.681,-5.348,0.487,NN,7.05,1.5,11.55,2043.0,515.0,1976.0,46.0,8069.0,IC 4996,304.135,37.649,75.37076517108848,1.3084911112140258
124,IC_5146,1.0,77.0,3.79e-10,6.2700000000000004e+32,1178.2,1.29,5.57,328.372,47.246,0.068,105,-2.91,-2.49,1.213,tooRed,,,,,,,,,IC 5146,328.372,47.246,94.38199497553998,-5.520369768971024
125,Juchert_18,24.5,213.3,3.12e-09,5.98e+33,3129.2,1.72,4.42,97.864,6.804,0.025,25,0.059,0.057,0.148,NN,7.39,2.02,13.79,5733.0,-5211.0,-2385.0,-131.0,13759.0,Juchert 18,97.864,6.804,204.60020157071415,-1.3139055664873331
126,Juchert_19,8.1,215.0,9.47e-09,2.06e+34,3027.7,2.52,9.33,60.585,52.446,0.025,21,-0.141,0.176,0.102,NN,6.91,3.33,13.83,5822.0,-5028.0,2933.0,-19.0,13687.0,Juchert 19,60.585,52.446,149.73959465155409,-0.19515889031526454
127,Juchert_3,1.0,2157.7,3.16e-06,1.0499999999999999e+37,27306.8,4.95,5.42,286.886,6.279,0.028,60,-1.509,-3.985,0.283,tooRed,,,,,,,,,Juchert 3,286.886,6.279,40.35377719614323,-0.7017303221571508
128,Juchert_9,11.5,334.6,2.39e-08,5.480000000000001e+34,4635.2,1.97,6.03,58.84,58.391,0.02,34,-0.223,-0.033,0.186,NN,7.06,2.25,13.39,4770.0,-3905.0,2722.0,306.0,12544.0,Juchert 9,58.84,58.391,145.12168181546173,3.6804361865379676
129,King_10,17.4,1848.8,5.42e-08,1.13e+35,26419.9,2.33,9.21,343.748,59.17,0.039,201,-2.722,-2.088,0.259,NN,7.24,3.43,12.97,3931.0,-1247.0,3728.0,-27.0,10286.0,Cl King 10,343.748,59.17,108.49351759161647,-0.3978795167221037
130,King_12,18.6,675.3,1.72e-08,3.5100000000000004e+34,9700.9,2.65,7.35,358.265,61.953,0.054,56,-3.416,-1.42,0.296,NN,7.27,1.85,12.47,3126.0,-1376.0,2806.0,-7.0,10113.0,Cl King 12,358.265,61.953,116.12762957644827,-0.1450721461006819
131,Koposov_53,16.2,485.1,1.64e-08,3.46e+34,6895.8,2.25,4.96,92.221,26.264,0.039,41,0.242,-0.632,0.18,NN,7.21,1.53,13.56,5143.0,-5116.0,-438.0,280.0,13463.0,[KGZ2008] 53,92.221,26.264,184.89678070827725,3.1205100554926366
132,Kronberger_1,6.0,321.2,2.89e-08,6.810000000000001e+34,4415.6,2.11,6.07,82.089,34.777,0.014,32,-0.05,-2.199,0.443,NN,6.78,2.05,11.84,2338.0,-2321.0,280.0,2.0,10665.0,Kronberger 1,82.089,34.777,173.10618825950195,0.048631543038174865
133,LDN_988e,4.7,14.8,1.02e-12,2.79e+29,276.7,1.7,2.97,316.027,50.245,0.024,33,1.181,-3.56,1.596,tooRed,,,,,,,,,NAME [C86] L988 e Cluster,316.027,50.245,90.53879647449763,2.2452395120603303
134,LP_403,26.3,978.4,1.25e-08,2.36e+34,14433.7,1.64,4.73,161.024,-58.095,0.095,125,-7.047,2.935,0.37,NN,7.42,1.35,12.21,2764.0,796.0,-2647.0,34.0,7994.0,[LP2019] 403,161.0241,-58.095,286.7431748308622,0.7170152471598726
135,L_1641S,4.2,118.4,1.52e-09,2.87e+33,1746.1,1.93,3.24,85.675,-8.133,0.143,99,0.013,-0.39,2.288,tooRed,,,,,,,,,NAME LDN 1641S Cluster,85.675,-8.133,212.48015967419914,-18.954082401545882
136,Lynga_6,3.1,454.1,7.68e-08,1.95e+35,6122.4,2.62,5.65,241.218,-51.96,0.056,30,-1.866,-2.757,0.383,NN,6.49,3.51,11.92,2422.0,2105.0,-1198.0,12.0,6348.0,Cl Lynga 6,241.218,-51.96,330.3520671188998,0.3027389399248132
137,Mamajek_1,9.8,26.9,7.96e-12,4.4699999999999997e+30,462.4,1.09,2.68,130.637,-78.963,0.362,20,-29.834,26.99,10.13,notEnoughStars,,,,,,,,,Cl Mamajek 1,130.6377,-78.9631,292.43537545344515,-21.601267318258483
138,Markarian_38,15.8,66.3,2.1e-10,3.21e+32,1031.2,1.42,3.22,273.819,-18.997,0.044,17,0.845,-2.277,0.567,NN,7.2,0.84,11.28,1802.0,1762.0,374.0,-29.0,6587.0,Cl Mrk 38,273.819,-18.997,11.985062317245367,-0.9283548469166848
139,Markarian_50,11.5,307.3,1.2e-05,9.24e+36,4256.0,1.66,5.59,348.806,60.448,0.035,38,-3.465,-2.56,0.323,NN,7.06,2.35,12.53,3198.0,-1163.0,2979.0,-13.0,9959.0,Cl Mrk 50,348.806,60.448,111.33471473935604,-0.2391148054705712
140,Mayer_1,28.8,230.3,2.45e-09,4.52e+33,3422.2,1.63,5.62,5.502,61.751,0.101,33,-3.341,-1.426,0.353,NN,7.46,1.29,12.09,2618.0,-1287.0,2280.0,-42.0,9893.0,NAME Mayer 1,5.502,61.751,119.4565810640211,-0.9220039775779465
141,Muzzio_1,7.8,265.2,1.68e-08,3.82e+34,3688.3,2.26,6.55,134.478,-47.761,0.124,26,-5.261,4.224,0.519,NN,6.89,3.2,11.35,1858.0,-64.0,-1856.0,-44.0,8607.0,NAME Muzzio 1,134.478,-47.761,268.0000532261688,-1.3715412149502697
142,NGC_1444,9.8,132.3,2.13e-09,4.13e+33,1934.0,1.86,5.55,57.361,52.658,0.056,18,-0.746,-1.829,0.832,NN,6.99,1.8,10.34,1167.0,-991.0,617.0,-26.0,9351.0,NGC 1444,57.361,52.658,148.09972805007567,-1.2899284840781573
143,NGC_1502,10.5,887.9,7.81e-08,1.84e+35,12214.5,1.7,6.12,61.954,62.332,0.081,150,-0.571,-0.848,0.916,NN,7.02,1.92,10.34,1171.0,-935.0,687.0,156.0,9300.0,NGC 1502,61.954,62.332,143.67062027100974,7.656453016469142
144,NGC_1579,3.8,234.9,1.21e-08,2.69e+34,3289.7,2.24,2.79,67.514,35.325,0.112,54,2.477,-4.945,1.81,tooRed,,,,,,,,,NGC 1579,67.514,35.325,165.29245514881865,-8.998748507326791
145,NGC_1624,4.5,312.4,2.68e-08,6.28e+34,4300.8,3.05,3.98,70.162,50.458,0.032,10,0.006,-0.456,0.145,notEnoughStars,,,,,,,,,NGC 1624,70.162,50.458,155.36502383263897,2.6109331587717564
146,NGC_1893,4.4,1205.1,9.57e-07,2.91e+36,15548.1,2.14,8.23,80.724,33.444,0.085,123,-0.231,-1.41,0.267,NN,6.64,1.28,12.54,3222.0,-3200.0,360.0,-91.0,11546.0,NGC 1893,80.724,33.444,173.57752427381897,-1.634193518352815
147,NGC_1960,28.2,886.1,9.87e-09,1.8300000000000001e+34,13142.7,1.18,5.9,84.084,34.135,0.086,280,-0.155,-3.388,0.835,NN,7.45,0.63,10.33,1162.0,-1157.0,110.0,21.0,9498.0,NGC 1960,84.084,34.135,174.54272995312834,1.0755900030283398
148,NGC_1980,13.2,130.4,2.03e-09,3.92e+33,1908.9,0.95,2.85,83.81,-5.924,0.151,121,1.215,0.54,2.586,NN,7.12,0.7,7.88,377.0,-309.0,-175.0,-126.0,8650.0,NGC 1980,83.81,-5.924,209.51256538053934,-19.632678194959205
149,NGC_2129,16.6,466.7,1.51e-08,3.16e+34,6646.3,1.63,12.97,90.275,23.328,0.05,73,0.266,-2.216,0.491,NN,7.22,1.88,11.57,2056.0,-2042.0,-236.0,5.0,10385.0,NGC 2129,90.275,23.328,186.59433206753604,0.14375126094722515
150,NGC_2169,12.3,198.9,7.52e-09,1.61e+34,2815.6,1.2,4.77,92.125,13.951,0.076,58,-1.068,-1.655,0.982,NN,7.09,0.85,10.15,1072.0,-1031.0,-288.0,-54.0,9375.0,NGC 2169,92.125,13.951,195.6315887800809,-2.920112234309011
151,NGC_2183,17.4,72.9,3e-10,4.81e+32,1123.2,1.0,2.91,92.717,-6.213,0.139,52,-3.605,0.447,1.211,NN,7.24,1.6,9.56,815.0,-662.0,-444.0,-167.0,9013.0,NAME NGC 2183 Cluster,92.717,-6.213,213.89750757369518,-11.838400916303275
152,NGC_2232,17.8,179.0,5.01e-09,1.03e+34,2561.8,0.4,4.59,96.888,-4.749,0.516,188,-4.745,-1.84,3.067,NN,7.25,0.01,7.49,315.0,-257.0,-176.0,-40.0,8599.0,NGC 2232,96.888,-4.749,214.45813731163668,-7.47085410198396
153,NGC_2244,12.6,2096.9,1.22e-07,2.7299999999999997e+35,29244.9,1.45,8.62,98.045,4.914,0.232,460,-1.598,0.179,0.617,manual,7.1,1.46,10.85,1478.0,-1324.0,-656.0,-52.0,9686.0,NGC 2244,98.045,4.914,206.36070220356083,-2.0265244810880834
154,NGC_2264,27.5,291.5,3.4e-09,6.34e+33,4316.0,1.03,4.22,100.217,9.877,0.072,161,-1.69,-3.727,1.354,NN,7.44,0.79,9.25,707.0,-650.0,-275.0,26.0,8995.0,NGC 2264,100.217,9.877,202.94067856881676,2.165901704240085
155,NGC_2362,5.8,591.7,1.61e-07,4.3e+35,7868.7,1.14,5.29,109.671,-24.954,0.052,144,-2.791,2.953,0.742,NN,6.76,0.37,10.64,1341.0,-703.0,-1134.0,-129.0,9114.0,NGC 2362,109.671,-24.954,238.1780683060376,-5.547644894247436
156,NGC_2367,14.1,194.0,6.94e-09,1.47e+34,2751.6,1.53,7.33,110.031,-21.867,0.046,35,-1.668,2.538,0.395,NN,7.15,1.34,11.79,2276.0,-1283.0,-1873.0,-151.0,9804.0,NGC 2367,110.031,-21.867,235.58601228654686,-3.825643291951388
157,NGC_2414,17.8,1242.5,3.48e-08,7.18e+34,17786.3,2.2,6.35,113.293,-15.449,0.043,117,-1.41,1.426,0.162,NN,7.25,1.48,13.61,5273.0,-3287.0,-4119.0,178.0,12335.0,NGC 2414,113.293,-15.449,231.4044548181085,1.9417404008776664
158,NGC_2439,11.7,2711.8,1.84e-07,4.19e+35,37625.5,1.42,17.13,115.194,-31.694,0.071,489,-2.283,3.159,0.232,NN,7.07,1.33,12.85,3707.0,-1477.0,-3388.0,-288.0,10385.0,NGC 2439,115.194,-31.694,246.44573197651002,-4.462160870730406
159,NGC_2453,25.1,720.1,1.01e-08,1.92e+34,10585.0,1.8,13.74,116.894,-27.194,0.033,108,-2.336,3.414,0.205,NN,7.4,1.26,13.26,4486.0,-2017.0,-4006.0,-73.0,11105.0,NGC 2453,116.894,-27.194,243.27343348721553,-0.9405860140074582
160,NGC_2571,26.9,460.0,5.61e-09,1.05e+34,6798.4,0.99,5.82,124.723,-29.775,0.127,150,-4.902,4.246,0.732,NN,7.43,0.29,10.62,1329.0,-473.0,-1240.0,81.0,8899.0,NGC 2571,124.723,-29.775,249.12168206430553,3.5106988935545096
161,NGC_2645,25.7,196.1,2.62e-09,4.97e+33,2887.3,1.49,6.19,129.774,-46.235,0.043,36,-5.887,5.071,0.523,NN,7.41,1.0,11.23,1763.0,-159.0,-1754.0,-89.0,8679.0,NGC 2645,129.774,-46.235,264.7929290887392,-2.9028567753126406
