Source name, components, Ra, Dec, positional error, r39, r39 error, TS, N0, N0 error, index, index error, TS100, Assoc.(Sep.)
 1LHAASO J2200+5643u , KM2A ,330.08,56.73,0.13,0.54,0.05,368.6,1.7,0.1,3.44,0.1,38.4,  
 1LHAASO J2200+5643u  , WCDA ,330.38,56.73,0.2,0.43,0.07,75.7,0.38,0.24,1.77,0.28, ,  
 1LHAASO J2228+6100u , KM2A ,337.01,61,0.04,0.35,0.01,2180.9,4.76,0.14,2.95,0.04,605.2,   SNR G106.3+02.7       (0.13) 
 1LHAASO J2228+6100u  , WCDA ,336.79,61.02,0.05,0.25,0.02,576,2.37,0.16,2.26,0.04, ,  
1LHAASO J2229+5927u , WCDA ,337.26,59.45,0.36,1.98,0.1,228,14.9,0.99,2.67,0.05, , 
1LHAASO J2229+5927u  , KM2A* ,337.88,59.55,0.46,1.74,0.16,163.8,4.43,0.36,3.53,0.11,31.4, 
 1LHAASO J2238+5900 , KM2A ,339.54,59,0.09,0.43,0.03,353.4,2.03,0.12,3.55,0.09, ,  
 1LHAASO J2238+5900  , WCDA* ,339.4,58.92,0.18,0.51,0.04,110.2,1.91,0.26,2.39,0.07, ,  
1LHAASO J2323+5854 , WCDA ,350.8,58.9,0.14,0,0.24,50.4,1.1,0.17,3.18,0.16, ,   Cassiopeia A          (0.10)
1LHAASO J2323+5854  , KM2A , , , , , , ,0,0.15, , , ,
1LHAASO J2346+5138 , WCDA ,356.7,51.64,0.12,0,0.16,47.6,0.57,0.09,3.26,0.17, ,   1ES 2344+514          (0.08)
1LHAASO J2346+5138  , KM2A , , , , , , ,0,0.07, , , ,
